TIME,TEMPERATURE_IN_BME,TEMPERATURE_IN_SCD,TEMPERATURE_IN_DS,TEMPERATURE_OUT_BME,TEMPERATURE_OUT_SCD,TEMPERATURE_OUT_DS,TEMPERATURE_OUT_SFM,TEMPERATURE_C_BME,TEMPERATURE_C1_DS,TEMPERATURE_C2_DS,TEMPERATURE_C3_DS,HUMIDITY_IN_BME,HUMIDITY_IN_SCD,HUMIDITY_OUT_BME,HUMIDITY_OUT_SCD,CO2_IN_SCD,CO2_OUT_SCD,PRESSURE_IN_BME ,PRESSURE_OUT_BME,PRESSURE_C_BME,AIRFLOW_OUT_SFM
Tue Sep  6 02:49:07 2022,20.8,21.985198974609375,20.812,25.2,25.819793701171875,24.187,25.745,24.5,23.687,23.312,24.062,67.0 %,64.76593017578125,55.7 %,61.76300048828125,468.6606140136719,768.340576171875,996.628,996.771,997.088,36.90588235294118
Tue Sep  6 02:50:07 2022,20.7,21.873046875,20.75,25.2,25.80377197265625,24.187,25.685,24.5,23.625,23.312,24.125,67.8 %,66.15447998046875,55.9 %,61.8927001953125,467.28704833984375,769.1004638671875,996.557,996.670,997.053,37.66470588235294
Tue Sep  6 02:51:07 2022,20.7,21.899749755859375,20.687,25.2,25.819793701171875,24.187,25.705,24.5,23.625,23.312,24.125,67.7 %,65.1611328125,56.2 %,62.030029296875,469.74603271484375,770.4755249023438,996.529,996.677,996.975,36.60588235294118
Tue Sep  6 02:52:08 2022,20.7,21.718162536621094,20.687,25.2,25.819793701171875,24.187,25.68,24.5,23.625,23.312,24.062,68.3 %,66.4337158203125,56.1 %,61.9384765625,471.2088928222656,768.5333862304688,996.472,996.668,996.952,36.07058823529412
Tue Sep  6 02:53:08 2022,20.6,21.774246215820312,20.687,25.2,25.819793701171875,24.187,25.705,24.5,23.625,23.312,24.062,68.1 %,65.22064208984375,55.9 %,61.61651611328125,471.4672546386719,770.9227905273438,996.497,996.602,996.922,35.9
Tue Sep  6 02:54:08 2022,20.6,21.843673706054688,20.625,25.2,25.819793701171875,24.187,25.78,24.5,23.625,23.312,24.062,67.8 %,65.2557373046875,55.9 %,61.68975830078125,471.41259765625,771.1138305664062,996.487,996.643,996.934,36.21176470588235
Tue Sep  6 02:55:08 2022,20.6,21.74486541748047,20.562,25.2,25.790420532226562,24.187,25.68,24.5,23.625,23.312,24.062,68.2 %,66.14837646484375,56.1 %,61.96441650390625,468.9031982421875,773.0353393554688,996.497,996.637,996.956,36.88823529411765
Tue Sep  6 02:56:09 2022,20.6,21.60334014892578,20.562,25.2,25.790420532226562,24.187,25.735,24.5,23.625,23.312,24.062,68.5 %,66.87774658203125,55.9 %,61.48529052734375,467.55206298828125,771.984619140625,996.543,996.706,996.964,36.33529411764706
Tue Sep  6 02:57:09 2022,20.6,21.65941619873047,20.562,25.2,25.833145141601562,24.187,25.67,24.5,23.625,23.312,24.062,68.6 %,66.131591796875,56.0 %,61.95068359375,469.45391845703125,770.8328857421875,996.540,996.685,996.980,36.63529411764706
Tue Sep  6 02:58:09 2022,20.6,21.61669158935547,20.5,25.2,25.80377197265625,24.125,25.73,24.5,23.625,23.25,24.062,68.5 %,66.95404052734375,56.0 %,61.767578125,467.27703857421875,772.7208251953125,996.535,996.665,997.006,36.61764705882353
Tue Sep  6 02:59:09 2022,20.5,21.686119079589844,20.562,25.2,25.790420532226562,24.187,25.685,24.4,23.625,23.25,24.062,69.0 %,67.1661376953125,56.1 %,61.96441650390625,468.610107421875,774.6436767578125,996.521,996.682,996.931,36.66470588235294
